sample,sensor,ax,ay,az,w,i,j,k
0,0,0.13,-0.09,0.09,-0.0925903,0.920532,-0.18866,0.329346
1,0,0,0.05,0.31,-0.0935669,0.920044,-0.189087,0.330139
2,0,0.25,0.06,0.01,-0.0938721,0.919983,-0.189514,0.330017
3,0,0.45,-0.09,-0.07,-0.09375,0.920349,-0.189636,0.328979
4,0,0.05,-0.05,-0.01,-0.0939331,0.920227,-0.189636,0.329285
5,0,-0.04,0.07,0.08,-0.0943604,0.919922,-0.189514,0.330078
6,0,0.15,-0.01,0.08,-0.0946655,0.919739,-0.18927,0.330566
7,0,0.19,-0.08,0.16,-0.0947876,0.9198,-0.18927,0.330444
8,0,0.12,-0.03,0.17,-0.0952148,0.9198,-0.189392,0.3302
9,0,0.19,-0.04,0.14,-0.09552,0.919983,-0.189636,0.329407
10,0,0.13,0,0.08,-0.0957642,0.919983,-0.189697,0.329346
11,0,0.15,0.02,0.09,-0.0962524,0.919861,-0.189758,0.329468
12,0,0.23,-0.02,0.01,-0.0964966,0.919861,-0.18988,0.329346
13,0,0.19,-0.06,0.11,-0.0968628,0.919861,-0.190002,0.329163
14,0,0.17,-0.03,-0.05,-0.0970459,0.919861,-0.190125,0.329041
15,0,0.2,0,-0.06,-0.0975952,0.919617,-0.190369,0.329407
16,0,-0.03,-0.03,0.25,-0.0983276,0.919189,-0.190552,0.330261
17,0,0.01,-0.02,0.15,-0.0993042,0.918884,-0.190674,0.33075
18,0,0.54,0.21,0.04,-0.098999,0.91925,-0.190063,0.330261
19,0,0.11,-0.23,0.32,-0.0991211,0.918762,-0.189941,0.331665
20,0,-0.57,0.1,0.28,-0.101685,0.916504,-0.19043,0.336792
21,0,-0.43,0.29,0.33,-0.102905,0.915955,-0.190918,0.337708
22,0,0.49,-0.09,-0.12,-0.102905,0.917236,-0.191895,0.333618
23,0,0.66,-0.18,0.08,-0.101685,0.918335,-0.192322,0.330627
24,0,0.48,-0.15,-0.16,-0.0991211,0.918945,-0.192566,0.329529
25,0,0.68,0.28,0.07,-0.0969849,0.919189,-0.192322,0.329651
26,0,-0.21,-0.25,0.41,-0.0922241,0.919617,-0.191528,0.330383
27,0,-1.05,-0.01,0.55,-0.090271,0.919373,-0.1922,0.331238
28,0,-0.99,0.72,0,-0.0856323,0.921692,-0.193481,0.325073
29,0,0.15,0.02,0.13,-0.0792847,0.925903,-0.195068,0.313538
30,0,0.53,-0.32,0.22,-0.078186,0.927429,-0.196472,0.308411
31,0,-0.16,-0.15,0.05,-0.076416,0.933411,-0.203491,0.285461
32,0,0.57,-0.14,-0.27,-0.0742798,0.936584,-0.205444,0.274048
33,0,0.73,-0.18,-0.46,-0.0739136,0.938904,-0.20697,0.264832
34,0,0.13,-0.05,-0.16,-0.074707,0.941284,-0.208557,0.254761
35,0,-0.35,-0.12,-0.35,-0.0753784,0.94281,-0.208679,0.248718
36,0,0.58,0.1,-0.03,-0.0756226,0.94696,-0.206604,0.234253
37,0,0.43,0.14,0.01,-0.0775757,0.94812,-0.205688,0.229553
38,0,0.72,0.13,0.23,-0.0791016,0.948669,-0.205322,0.227112
39,0,0.84,-0.23,1.23,-0.0835571,0.948425,-0.205017,0.226929
40,0,0.65,0.2,1.04,-0.090332,0.947266,-0.203735,0.230225
41,0,-0.5,-4,-8.18,-0.108215,0.939941,-0.217529,0.239807
42,0,1.05,0.66,-8.31,-0.107422,0.940308,-0.220459,0.235901
43,0,5.71,3.4,6.65,-0.10022,0.948242,-0.213135,0.213135
44,0,-0.56,-3.94,1.93,-0.101562,0.950928,-0.206848,0.206482
