sample,sensor,ax,ay,az,w,i,j,k
0,0,0.02,0.11,-0.04,0.115295,0.786011,-0.605164,-0.052124
1,0,0.08,-0.09,0.09,0.115173,0.786011,-0.605164,-0.052002
2,0,0,0.06,-0.05,0.114929,0.786011,-0.605164,-0.0518799
3,0,0.05,-0.11,0.04,0.114685,0.786011,-0.605286,-0.0519409
4,0,0.16,0,-0.01,0.11438,0.786011,-0.605286,-0.052063
5,0,-0.1,-0.05,-0.03,0.113953,0.786072,-0.605286,-0.0519409
6,0,0.05,0.02,-0.09,0.114014,0.786072,-0.605286,-0.0521851
7,0,0.27,-0.03,0.08,0.114075,0.786133,-0.605164,-0.0523682
8,0,0.15,0.04,0.01,0.114624,0.786072,-0.605103,-0.0530396
9,0,0.04,-0.07,-0.04,0.114258,0.786194,-0.60498,-0.0528564
10,0,0.05,0.02,-0.04,0.114075,0.786499,-0.604675,-0.0528564
11,0,0.16,0.01,-0.05,0.113586,0.786743,-0.604431,-0.0524902
12,0,0.09,-0.02,0.03,0.112549,0.787231,-0.604126,-0.0515747
13,0,0.01,-0.09,-0.01,0.111572,0.787598,-0.603821,-0.0509033
14,0,-0.02,-0.07,-0.19,0.109741,0.788757,-0.602783,-0.0501099
15,0,0.21,0.05,-0.2,0.108765,0.789856,-0.601501,-0.0501709
16,0,0.39,-0.06,0.05,0.107239,0.791504,-0.599548,-0.0501099
17,0,-0.17,-0.31,0.31,0.105774,0.792725,-0.598328,-0.0496216
18,0,0.25,-0.27,-0.47,0.104919,0.794312,-0.596252,-0.0507812
19,0,0.34,-0.02,0.18,0.105164,0.795166,-0.595032,-0.0514526
20,0,0.07,-0.02,0.44,0.10437,0.795593,-0.594543,-0.0509644
21,0,-0.25,-0.19,0.43,0.103088,0.795959,-0.594421,-0.0499268
22,0,-0.32,0.05,0,0.102417,0.796509,-0.59375,-0.0504761
23,0,0.09,-0.12,0.12,0.1026,0.797119,-0.592834,-0.0513916
24,0,-0.1,0.19,0.67,0.100464,0.797668,-0.592468,-0.0512085
25,0,-0.47,-0.38,-0.05,0.0991211,0.797974,-0.592163,-0.0523682
26,0,-0.1,0,0.27,0.0993042,0.798401,-0.591248,-0.0559692
27,0,0.3,0.23,0.1,0.0987549,0.798523,-0.590942,-0.0584717
28,0,0.04,0.09,0.38,0.0956421,0.798279,-0.591675,-0.0598145
29,0,-0.36,0.48,0.41,0.0935059,0.797913,-0.592346,-0.06073
30,0,-1.57,0.19,1.53,0.0928955,0.796936,-0.593567,-0.062439
31,0,-2.57,2.09,2.24,0.097229,0.794312,-0.59613,-0.0649414
32,0,-1.73,-1.7,-5.21,0.10675,0.786316,-0.604248,-0.0719604
33,0,8.14,0.22,-1.73,0.112183,0.786133,-0.602722,-0.0786133
34,0,-6.32,-3.35,-2.91,0.108765,0.784302,-0.608215,-0.0551758
35,0,-3.45,1.4,-1,0.0981445,0.781555,-0.613525,-0.0560303
36,0,2.97,-1.23,-1.53,0.10675,0.78009,-0.613586,-0.0599365
37,0,3.38,0.51,-0.49,0.114563,0.779907,-0.611694,-0.0669556
38,0,-0.18,0.1,0.08,0.110107,0.78009,-0.612671,-0.0626831
39,0,-1.43,-0.17,-0.07,0.107666,0.780579,-0.612854,-0.0592041
40,0,0.24,0.01,0.16,0.112793,0.781799,-0.610352,-0.0595093
41,0,0.46,0.27,0.15,0.114258,0.782593,-0.609131,-0.0583496
42,0,-0.64,0.01,0.34,0.112793,0.783264,-0.608826,-0.0558472
43,0,-0.25,0.05,0.49,0.112732,0.783386,-0.608704,-0.0557251
44,0,0.06,0.1,0.28,0.113403,0.783386,-0.608521,-0.0567627
45,0,0.04,-0.01,0.25,0.113037,0.783386,-0.608521,-0.0567017
46,0,-0.04,0.06,-0.02,0.112427,0.783508,-0.608521,-0.0559692
47,0,-0.03,0.04,0.13,0.111938,0.78363,-0.608521,-0.055481
48,0,-0.12,-0.04,0.06,0.111206,0.783569,-0.608765,-0.0554199
49,0,0,-0.02,0.1,0.110962,0.783447,-0.608887,-0.0559082
50,0,0.25,0,-0.13,0.110901,0.783264,-0.60907,-0.0568848
51,0,0.1,-0.01,0.02,0.110413,0.783203,-0.609253,-0.0570068
52,0,0.26,-0.04,-0.05,0.110168,0.783203,-0.609253,-0.0570679
53,0,-0.03,0,-0.01,0.109741,0.783203,-0.609375,-0.0567017
54,0,-0.03,-0.15,-0.04,0.110474,0.783203,-0.609192,-0.057373
55,0,0.22,0,-0.06,0.111023,0.783264,-0.609009,-0.0575562
56,0,0.05,0.04,0,0.112061,0.783142,-0.608826,-0.0582275
57,0,0.11,-0.01,-0.04,0.112244,0.783142,-0.608826,-0.0581665
58,0,0,-0.03,0.18,0.11261,0.783325,-0.608582,-0.0579224
59,0,0.05,0.01,0.03,0.112915,0.783447,-0.608337,-0.0580444
60,0,-0.07,0,-0.14,0.113342,0.783447,-0.608276,-0.0579224
61,0,0.08,0.02,0.1,0.113525,0.783569,-0.608154,-0.0577393
62,0,0.13,0.04,0.17,0.113281,0.783691,-0.608093,-0.0571289
63,0,-0.09,0,0.13,0.113098,0.783752,-0.608032,-0.0568848
0,1,-0.01,-0.04,0.13,0.224487,0.500916,-0.810486,-0.204346
1,1,-0.08,-0.08,0.07,0.224182,0.500488,-0.810852,-0.204346
2,1,0.01,-0.01,0.06,0.225098,0.499939,-0.810425,-0.206299
3,1,-0.01,-0.01,0.03,0.224854,0.500244,-0.810364,-0.206177
4,1,0,0.03,0.09,0.224609,0.500854,-0.809998,-0.206421
5,1,0.1,-0.11,0.07,0.224548,0.50061,-0.81012,-0.206543
6,1,0.04,-0.04,0.06,0.224487,0.500488,-0.810181,-0.206604
7,1,-0.01,-0.02,0.01,0.224304,0.500549,-0.810242,-0.206482
8,1,0,-0.02,0.04,0.22406,0.500732,-0.810181,-0.206604
9,1,0.09,-0.02,0.1,0.223877,0.501038,-0.810059,-0.206482
10,1,-0.01,-0.06,0.07,0.223267,0.501343,-0.810181,-0.205933
11,1,-0.09,-0.05,0.06,0.222656,0.50177,-0.810242,-0.205383
12,1,-0.22,0.14,0.05,0.222046,0.502502,-0.809998,-0.205139
13,1,0.39,0.27,0.1,0.221069,0.502869,-0.809998,-0.2052
14,1,0.12,0.18,0.18,0.22052,0.502502,-0.810303,-0.205505
15,1,0.46,-0.19,0.13,0.219421,0.501038,-0.81189,-0.204102
16,1,0.23,-0.3,0.19,0.219177,0.501587,-0.810974,-0.206543
17,1,0.13,0.61,-0.22,0.219482,0.501282,-0.811096,-0.206421
18,1,0.29,0.18,-0.1,0.219727,0.50061,-0.81134,-0.207031
19,1,0.3,-0.1,-0.08,0.220886,0.500549,-0.811218,-0.20636
20,1,-0.17,-0.56,-0.07,0.223022,0.503418,-0.809326,-0.20459
21,1,-0.35,0,0.17,0.223572,0.510864,-0.805176,-0.201904
22,1,-0.25,0.2,0.13,0.223328,0.517578,-0.800598,-0.203247
23,1,0.1,-0.11,0.48,0.222656,0.522522,-0.797058,-0.205078
24,1,-0.54,0.09,-0.27,0.22113,0.532898,-0.790222,-0.206421
25,1,-0.37,-0.67,0.62,0.219543,0.542236,-0.783813,-0.208435
26,1,0.34,-0.17,0.59,0.21759,0.55957,-0.77063,-0.213623
27,1,-0.13,-0.11,0.44,0.215454,0.566467,-0.766296,-0.213196
28,1,0.02,-0.13,0.58,0.214233,0.575745,-0.759827,-0.212891
29,1,0.13,-0.54,1.21,0.213196,0.578796,-0.758057,-0.211975
30,1,-0.06,-2.13,5.21,0.210388,0.57605,-0.758972,-0.218811
31,1,-2.97,-0.58,1.12,0.212463,0.566772,-0.764343,-0.222229
32,1,7.54,3.7,-8.16,0.224243,0.512329,-0.792786,-0.242432
33,1,5.05,-0.97,3.91,0.228271,0.482727,-0.816406,-0.219849
34,1,1.74,-0.44,1.07,0.211792,0.476868,-0.828735,-0.202209
35,1,0.64,-1.95,-0.09,0.210022,0.489258,-0.820801,-0.206787
36,1,-1.13,2.3,-0.26,0.211975,0.490601,-0.819641,-0.20636
37,1,1.28,0.35,-0.43,0.218506,0.488342,-0.820007,-0.203308
38,1,0.39,-0.02,-0.36,0.21582,0.488892,-0.820679,-0.202332
39,1,-0.53,-0.53,-0.3,0.214539,0.492065,-0.819946,-0.198792
40,1,-0.02,-0.01,0.29,0.218628,0.492432,-0.81842,-0.199829
41,1,-0.07,-0.24,0.74,0.22168,0.492615,-0.817627,-0.199219
42,1,-0.32,-0.41,0.71,0.222229,0.492188,-0.817505,-0.200073
43,1,-0.28,-0.26,0.57,0.221802,0.491089,-0.81842,-0.199463
44,1,0.08,-0.24,0.41,0.223877,0.490051,-0.817688,-0.202759
45,1,0.15,-0.14,0.32,0.223999,0.489807,-0.817688,-0.203247
46,1,0.08,-0.06,0.25,0.224304,0.489685,-0.817505,-0.203979
47,1,-0.09,-0.15,0.23,0.224243,0.48999,-0.817505,-0.203247
48,1,-0.12,-0.17,0.21,0.223999,0.490417,-0.817322,-0.203064
49,1,0.02,-0.13,0.05,0.223511,0.490845,-0.8172,-0.203308
50,1,0.17,-0.02,0.06,0.223328,0.490845,-0.817078,-0.203857
51,1,0.21,-0.04,0,0.222656,0.490845,-0.8172,-0.204224
52,1,0.27,-0.1,-0.04,0.222229,0.490967,-0.817139,-0.204468
53,1,0.01,0.1,0.04,0.221802,0.491638,-0.817017,-0.203918
54,1,0.09,-0.16,-0.03,0.222046,0.492126,-0.816528,-0.204468
55,1,0.06,0.04,0.07,0.222717,0.492859,-0.815796,-0.204773
56,1,0.18,0.04,0.17,0.2229,0.493164,-0.815552,-0.204895
57,1,0.09,-0.06,0.13,0.223145,0.493469,-0.815247,-0.205139
58,1,0.02,-0.09,0.11,0.22345,0.493713,-0.815002,-0.205261
59,1,0.08,-0.04,0.13,0.223877,0.494568,-0.81427,-0.205688
60,1,0.19,0.25,0.22,0.224304,0.495117,-0.81366,-0.206299
61,1,0.06,-0.14,0.24,0.224609,0.495239,-0.813477,-0.206177
62,1,0.08,-0.12,0.24,0.225464,0.494995,-0.813232,-0.206909
63,1,0,-0.15,0.2,0.225525,0.495178,-0.81311,-0.206726
0,2,0.08,-0.02,0.09,-0.381042,0.592712,-0.344238,0.620483
1,2,0.39,-0.15,0.11,-0.381348,0.59259,-0.345154,0.619934
2,2,0.29,-0.03,0.16,-0.381348,0.592651,-0.345764,0.619507
