sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.3,-0.51,-0.35,0.589722,0.516907,-0.297607,-0.544495
1,0,-2.15,-0.01,0.01,0.57959,0.530762,-0.313538,-0.53302
2,0,-0.86,-0.06,-0.2,0.570984,0.541443,-0.326599,-0.52356
3,0,0.12,-0.12,-0.65,0.563721,0.549744,-0.338257,-0.51532
4,0,0.18,-0.1,-0.9,0.55658,0.557617,-0.349915,-0.506836
5,0,-1.07,-0.62,-0.51,0.55011,0.565186,-0.362976,-0.496155
6,0,-1.67,-0.01,-0.19,0.541321,0.575378,-0.374512,-0.485413
7,0,-1.16,-0.17,0.19,0.529175,0.58844,-0.389282,-0.471375
8,0,-0.51,-0.28,-0.35,0.523682,0.593872,-0.397034,-0.464172
9,0,0.12,-0.94,-0.29,0.517822,0.599548,-0.407166,-0.45459
10,0,-1.28,-0.08,-0.25,0.512939,0.604431,-0.413818,-0.447571
11,0,-1.28,0.05,-0.08,0.503174,0.613281,-0.423279,-0.437561
12,0,-0.16,0.61,-0.75,0.500244,0.615967,-0.426819,-0.433716
13,0,-0.19,0.04,-0.45,0.496582,0.619873,-0.4328,-0.426392
14,0,-0.39,-0.02,-0.72,0.493652,0.622986,-0.437073,-0.420898
15,0,0.03,1.02,-0.64,0.489014,0.628418,-0.443665,-0.411255
16,0,0.13,0.05,-0.3,0.484436,0.633118,-0.449646,-0.402832
17,0,-0.78,-0.48,-0.21,0.477783,0.639343,-0.456909,-0.392639
18,0,-1.53,-0.11,-0.04,0.469788,0.646423,-0.463928,-0.382263
19,0,-1.59,0.04,-0.05,0.459595,0.65509,-0.472595,-0.369202
20,0,-0.99,-0.19,0.22,0.453735,0.659607,-0.477051,-0.362488
21,0,-0.48,-0.36,-0.36,0.44342,0.667236,-0.483398,-0.352844
22,0,-0.01,-0.29,-0.75,0.440186,0.669983,-0.485168,-0.349243
23,0,-0.21,0.82,-0.37,0.437195,0.672668,-0.487366,-0.344788
24,0,-0.91,-0.37,-0.2,0.432556,0.676331,-0.48938,-0.340637
25,0,-0.85,-0.15,-0.13,0.427307,0.680603,-0.491577,-0.33551
26,0,0.34,-0.44,-0.76,0.424805,0.683167,-0.492188,-0.33252
27,0,-4.16,0.82,3.11,0.419556,0.688904,-0.493225,-0.325745
28,0,-15.37,1.69,9.93,0.427124,0.683655,-0.483521,-0.341064
29,0,-16.09,1.16,4.82,0.46582,0.650696,-0.450378,-0.395874
30,0,-13.2,-4.82,-9.55,0.521606,0.5896,-0.388123,-0.479248
31,0,-14.55,-12.02,-15.81,0.567383,0.52179,-0.301147,-0.56134
