sample,sensor,ax,ay,az,w,i,j,k
0,0,12.79,-5,-8.49,0.501343,0.760071,-0.336121,-0.240662
1,0,13.74,-4.73,-7.5,0.52063,0.743103,-0.313599,-0.279968
2,0,6.72,-2.68,-6.05,0.525085,0.738342,-0.309509,-0.288635
3,0,-0.63,-1.33,-4.41,0.521179,0.74176,-0.320129,-0.275024
4,0,-5.58,-0.5,-2.54,0.516052,0.746155,-0.332153,-0.258179
5,0,-3.67,-0.69,-1.92,0.517822,0.745483,-0.33606,-0.251404
6,0,-1.15,-1.07,-1.44,0.527161,0.739868,-0.330139,-0.256348
7,0,-0.68,-0.96,-2,0.538696,0.732544,-0.320618,-0.265259
8,0,0.4,-2.29,-2.32,0.552246,0.723633,-0.306946,-0.277649
9,0,0.51,-2.67,-1.96,0.565308,0.714722,-0.293396,-0.289001
10,0,-1.03,-1.56,-1.86,0.577271,0.705933,-0.280701,-0.299255
11,0,-1.75,-1.48,-1.42,0.589783,0.695862,-0.266541,-0.311279
12,0,-1.2,-1.53,-1.37,0.603149,0.683777,-0.249634,-0.326111
13,0,-0.32,-1.42,-1.33,0.616333,0.670654,-0.231506,-0.341797
14,0,-1.65,-1.4,-1.54,0.638611,0.64563,-0.19574,-0.370117
15,0,-1.94,-1.38,-1.69,0.648926,0.63269,-0.176086,-0.384155
16,0,-1.47,-1.86,-1.72,0.658936,0.61908,-0.155396,-0.39801
17,0,-1.57,-3.21,-1.23,0.666199,0.6073,-0.134399,-0.411438
18,0,-2.09,-0.72,-1.86,0.674133,0.595764,-0.114563,-0.421326
19,0,-2.1,-1.19,-1.88,0.68158,0.585083,-0.0947876,-0.429138
20,0,-1.73,-0.81,-1.32,0.688599,0.574646,-0.0753784,-0.435791
21,0,-1.41,-1.29,-0.52,0.695068,0.564514,-0.0579224,-0.441406
22,0,-1.33,-1.33,-0.28,0.703308,0.550415,-0.0350342,-0.448486
23,0,-1.32,-0.94,-0.15,0.707642,0.542725,-0.0223999,-0.451843
24,0,-1.75,-1.04,0.05,0.712402,0.533936,-0.00701904,-0.455383
25,0,-2.54,-0.7,0.62,0.71405,0.529236,0.00189209,-0.458313
26,0,-2.12,-0.59,0.65,0.715454,0.521973,0.0146484,-0.464233
27,0,-1.48,-0.32,1.42,0.714844,0.518738,0.0210571,-0.468445
28,0,-0.18,0.41,1.87,0.711914,0.515198,0.0257568,-0.476562
29,0,6.8,0.92,0.52,0.709351,0.514221,0.0206909,-0.481689
30,0,13.81,0.22,-4.33,0.705872,0.523315,-0.00524902,-0.477356
31,0,15.74,-1.89,-12.56,0.688904,0.578064,-0.109558,-0.42334
32,0,-4.94,-6.9,-27.24,0.65448,0.639954,-0.219971,-0.337219
33,0,-20.39,-8.2,-23.77,0.590271,0.700867,-0.331299,-0.224854
34,0,-28.44,0.72,-5.36,0.522583,0.738953,-0.406006,-0.126709
35,0,-18.99,5.67,7.46,0.470154,0.760742,-0.442566,-0.06604
36,0,-10.5,1,12.42,0.443054,0.772156,-0.452515,-0.0515747
37,0,1.57,-2.3,-0.16,0.452148,0.772339,-0.437927,-0.0852051
38,0,5.62,-0.89,-6.96,0.500854,0.752747,-0.391357,-0.171265
39,0,8.37,-3,-9.11,0.528381,0.73584,-0.361694,-0.220154
40,0,8.22,-2.83,-7.24,0.552063,0.718933,-0.339539,-0.25116
41,0,1.61,-2.08,-5.07,0.553955,0.718567,-0.344482,-0.24115
42,0,-4.8,-1.3,-2.44,0.550598,0.722107,-0.359009,-0.215698
43,0,-2.05,-0.7,-0.6,0.555115,0.720398,-0.359619,-0.208679
44,0,-0.92,-0.6,-0.29,0.568237,0.714233,-0.35022,-0.210388
45,0,-2.45,-0.66,-0.95,0.579041,0.70874,-0.339722,-0.216614
46,0,-2.63,-0.81,-1.49,0.600708,0.696106,-0.314331,-0.236206
47,0,-0.7,-1.78,-1.56,0.617371,0.684631,-0.292297,-0.254395
48,0,-1.22,-1.87,-1.26,0.640808,0.665283,-0.25708,-0.283997
49,0,-2.25,-1.6,-2.24,0.654968,0.651245,-0.232483,-0.304749
50,0,-1.86,-1.2,-2.28,0.67511,0.62793,-0.191711,-0.336487
51,0,-1.22,-1.41,-1.41,0.686584,0.612122,-0.163879,-0.356506
52,0,-1.51,-1.55,-1.29,0.699524,0.590393,-0.124756,-0.382812
53,0,-0.51,-1.63,-0.75,0.706055,0.577454,-0.101257,-0.397217
54,0,-1.54,-1.54,-0.29,0.712463,0.562378,-0.0718384,-0.413513
55,0,-1.79,-1.16,-0.7,0.716125,0.552979,-0.0548706,-0.422363
56,0,-0.89,-0.69,-0.48,0.719604,0.54425,-0.039917,-0.429382
57,0,-0.55,-0.82,0.25,0.722717,0.53595,-0.0278931,-0.435547
58,0,-0.66,-0.67,0.31,0.724854,0.528381,-0.0187988,-0.441589
59,0,-2.03,-0.56,0.5,0.725342,0.523438,-0.0128784,-0.446899
60,0,-2.82,-0.4,0.2,0.722961,0.521179,-0.0090332,-0.45343
61,0,-2.81,-0.58,0.11,0.720093,0.521057,-0.00854492,-0.458069
62,0,-1.79,-0.9,0.34,0.714539,0.520569,-0.00878906,-0.467285
