sample,sensor,ax,ay,az,w,i,j,k
0,0,7.16,0.25,-1.97,0.0860596,0.966248,-0.238953,0.0430298
1,0,2.57,0.68,-1.05,0.0709229,0.96637,-0.240417,0.0578613
2,0,0.74,1.42,0,0.0610962,0.965576,-0.240784,0.0768433
3,0,-0.75,1.58,0.11,0.0523071,0.96405,-0.243164,0.0933228
4,0,-0.43,1.31,-0.03,0.0458374,0.962219,-0.247681,0.103455
5,0,0.62,1.03,-0.41,0.0425415,0.959412,-0.257446,0.106873
6,0,0.81,0.66,-0.24,0.0386963,0.957458,-0.264404,0.108948
7,0,0.88,-0.01,0.34,0.0320435,0.95459,-0.27478,0.110596
8,0,0.1,-0.49,2.04,0.0267944,0.95282,-0.28125,0.110901
9,0,0.05,-0.58,1.94,0.0213013,0.950928,-0.290405,0.104797
10,0,0.05,-0.73,0.18,0.0199585,0.9505,-0.295166,0.0948486
11,0,0.09,-0.64,-1.57,0.0239258,0.951172,-0.298096,0.0761108
12,0,0.65,-1.08,-1.23,0.0269775,0.952454,-0.297119,0.0620117
13,0,1.11,-0.94,-1.01,0.0343018,0.956055,-0.289185,0.0345459
14,0,1.16,-0.74,-0.98,0.0373535,0.957825,-0.283997,0.0239258
15,0,1,-0.47,1.15,0.0401611,0.959534,-0.278259,0.0159912
16,0,0.99,-0.48,1.66,0.0411987,0.960999,-0.273376,0.00927734
17,0,1.03,-1.13,-0.58,0.0422974,0.962402,-0.26825,-0.00506592
18,0,1.67,-0.74,0.47,0.0449219,0.963196,-0.264648,-0.0157471
19,0,2.65,-0.41,0.79,0.0522461,0.963379,-0.26123,-0.0310669
20,0,2.37,-0.57,-1.09,0.0543213,0.963379,-0.260315,-0.0335693
21,0,-0.42,-0.04,-0.09,0.0519409,0.964417,-0.25824,-0.0230713
22,0,-1.66,0.13,-0.12,0.0488892,0.965027,-0.25708,-0.0170288
23,0,1.23,-0.56,0.56,0.0515137,0.964722,-0.256836,-0.0255127
24,0,0.88,-0.76,-0.83,0.0528564,0.964294,-0.257812,-0.0307007
25,0,0.44,-0.61,-0.41,0.0529175,0.964172,-0.257874,-0.0321655
26,0,0.78,-0.61,-0.36,0.0523682,0.964355,-0.257385,-0.0327148
27,0,0.94,-0.46,-0.41,0.0535889,0.964783,-0.255737,-0.0306396
28,0,0.12,-0.16,0.02,0.0522461,0.965393,-0.253967,-0.027771
29,0,0.53,-0.33,-0.21,0.0524902,0.966064,-0.251465,-0.026001
30,0,1.37,-0.46,-0.81,0.0524902,0.966919,-0.248718,-0.0218506
31,0,1.44,-0.58,0.06,0.0515137,0.968506,-0.24353,-0.00952148
32,0,0.15,-0.26,-0.26,0.0498657,0.96936,-0.240662,-0.000305176
33,0,0,-0.33,-0.08,0.0502319,0.970459,-0.235779,0.00762939
34,0,1,-0.29,0.42,0.0519409,0.970825,-0.233887,0.00793457
35,0,1.49,-0.22,1.01,0.0545044,0.971069,-0.232361,0.010376
36,0,0.83,-0.27,-1.09,0.0543213,0.971252,-0.231201,0.0166016
37,0,0.36,0.03,0.55,0.0524292,0.971619,-0.22876,0.029541
38,0,2.42,-5.54,8.58,0.0490723,0.971191,-0.229614,0.0410156
39,0,-4.25,-5.46,3.24,0.0397339,0.972107,-0.223999,0.0571899
40,0,-5.74,3.82,9.16,0.0369873,0.972534,-0.22229,0.0581665
41,0,4.29,-0.5,1.36,0.0600586,0.972351,-0.224426,0.0227051
42,0,7.56,-1.64,-2.41,0.0670166,0.971985,-0.224304,0.020813
43,0,1.93,-0.05,-0.61,0.0551147,0.971924,-0.221741,0.0565186
44,0,-4.36,-0.74,-0.07,0.046875,0.971191,-0.221375,0.0750122
45,0,-0.78,0.02,0.92,0.0491943,0.971497,-0.221375,0.0692139
46,0,2.67,-0.23,0.5,0.0544434,0.971802,-0.22168,0.0585938
47,0,3.26,-0.4,-0.64,0.0586548,0.971741,-0.221985,0.0543823
48,0,1.43,-0.27,-0.92,0.0581665,0.971619,-0.221191,0.0609131
