sample,sensor,ax,ay,az,w,i,j,k
0,0,0.21,-0.01,-0.02,0.302551,0.721069,-0.61853,-0.0771484
1,0,0.1,-0.02,0,0.302612,0.720642,-0.61908,-0.0767822
2,0,-0.12,0.03,-0.03,0.302185,0.720459,-0.619507,-0.0762939
3,0,-0.07,0.08,-0.01,0.30188,0.720337,-0.619873,-0.0759888
4,0,0,0.05,0,0.301575,0.720215,-0.620117,-0.0758057
5,0,-0.02,0.01,-0.03,0.300964,0.720276,-0.620422,-0.0755615
6,0,-0.03,-0.09,-0.19,0.299866,0.72052,-0.620728,-0.0750732
7,0,-0.05,0,-0.24,0.298523,0.720947,-0.620972,-0.0744019
8,0,0.34,0.14,-0.57,0.297058,0.721375,-0.621216,-0.0739136
9,0,0.57,0.1,-0.66,0.296204,0.721863,-0.621155,-0.072998
10,0,0.33,-0.14,-0.38,0.2948,0.722351,-0.621582,-0.0704346
11,0,-0.14,-0.06,0.04,0.292236,0.723145,-0.622314,-0.0662842
12,0,-0.18,-0.05,0.44,0.289124,0.72406,-0.623108,-0.0621948
13,0,-0.39,-0.34,-0.37,0.286926,0.724792,-0.623596,-0.059082
14,0,-0.63,-0.27,-0.49,0.285828,0.725952,-0.622925,-0.057312
15,0,-0.75,-0.45,-0.78,0.283752,0.727844,-0.621765,-0.0560303
16,0,-0.72,-0.34,-0.96,0.280945,0.730591,-0.619873,-0.055481
17,0,-0.42,-0.14,-0.84,0.277832,0.734436,-0.616699,-0.0552979
18,0,-0.41,-0.54,-1.21,0.273499,0.739319,-0.612854,-0.0548706
19,0,-0.5,-0.62,-1.35,0.267883,0.746094,-0.607178,-0.0540161
20,0,-0.16,-0.14,-0.07,0.26178,0.75415,-0.599976,-0.0526123
21,0,-0.25,0.29,1.06,0.255615,0.762268,-0.592468,-0.0506592
22,0,-0.12,0.27,0.49,0.250732,0.769409,-0.585266,-0.0509033
23,0,0.18,0.47,0.99,0.247864,0.775757,-0.577881,-0.0526123
24,0,1.01,0.73,0.93,0.244812,0.780945,-0.572083,-0.053772
25,0,0.97,0.18,0.91,0.241455,0.785217,-0.567627,-0.0540161
26,0,0.87,0.4,0.94,0.239136,0.788757,-0.563782,-0.0534668
27,0,0.43,0.44,1.05,0.237915,0.791443,-0.560608,-0.0523071
28,0,0.22,0.41,1.34,0.238403,0.793213,-0.557922,-0.052124
29,0,0.01,0.64,1.66,0.241089,0.794189,-0.555359,-0.052063
30,0,-1.99,0.42,-0.37,0.24469,0.794312,-0.553406,-0.053772
31,0,-0.58,0.17,-0.21,0.248535,0.794128,-0.551392,-0.0594482
32,0,0.4,-0.33,-0.45,0.253113,0.793762,-0.54895,-0.0674438
33,0,2.79,1.81,0.89,0.259155,0.792603,-0.54657,-0.0767212
34,0,1.93,1.26,4.23,0.266418,0.78894,-0.548218,-0.0778198
35,0,1.7,-0.59,2.11,0.276306,0.779541,-0.555908,-0.0836182
36,0,0.05,0.3,-0.88,0.279236,0.772827,-0.564209,-0.0803223
