sample,sensor,ax,ay,az,w,i,j,k
0,0,0.68,-0.14,-0.07,-0.0645752,0.960876,-0.232056,0.13678
1,0,0.49,-0.18,-0.05,-0.0641479,0.960693,-0.232544,0.137573
2,0,-0.04,0,-0.04,-0.0637817,0.960449,-0.232971,0.138489
3,0,-0.14,-0.23,-0.06,-0.0638428,0.960205,-0.233582,0.139221
4,0,0.07,-0.24,-0.01,-0.0641479,0.960083,-0.233887,0.13916
5,0,0.47,-0.13,0.05,-0.06427,0.960083,-0.234253,0.138672
6,0,0.22,-0.23,0,-0.0643311,0.9599,-0.234863,0.139038
7,0,-0.21,0.09,0.32,-0.0653687,0.959534,-0.235657,0.139343
8,0,-0.1,0.22,0.2,-0.0662231,0.959778,-0.23584,0.137268
9,0,0.37,-0.09,-0.33,-0.0646973,0.960388,-0.235718,0.134033
10,0,0.52,-0.03,0.03,-0.0637817,0.960571,-0.235413,0.13324
11,0,0.42,0.1,0.2,-0.0634766,0.96051,-0.235596,0.133667
12,0,-0.04,-0.01,-0.13,-0.0630493,0.960205,-0.236328,0.134949
13,0,-0.12,-0.05,0.26,-0.0627441,0.960083,-0.236816,0.135254
14,0,0.29,0.02,-0.01,-0.0623169,0.960022,-0.237305,0.134949
15,0,0.44,-0.1,-0.08,-0.0618286,0.959717,-0.238342,0.135254
16,0,0.16,-0.2,-0.19,-0.0619507,0.959412,-0.239075,0.136108
17,0,0.02,-0.22,0.03,-0.0619507,0.959167,-0.239685,0.136902
18,0,0.13,-0.07,-0.04,-0.0617065,0.959045,-0.240112,0.137268
19,0,0.19,-0.2,-0.1,-0.0613403,0.958984,-0.24054,0.13678
20,0,0.12,-0.15,-0.24,-0.0603638,0.959106,-0.240967,0.135864
21,0,0.17,-0.09,0.06,-0.0601196,0.959167,-0.241028,0.135071
22,0,0.21,-0.2,-0.13,-0.0582275,0.959595,-0.24115,0.132935
23,0,0.42,0,-0.24,-0.0574341,0.959839,-0.240906,0.131836
24,0,0.44,0,-0.08,-0.0570068,0.960144,-0.239807,0.131836
25,0,-0.01,-0.15,0,-0.0568237,0.960205,-0.239014,0.13269
26,0,0.52,0.03,0.11,-0.055481,0.960815,-0.237671,0.13147
27,0,0.24,0.01,0.15,-0.0549927,0.960938,-0.237244,0.13147
28,0,-0.08,0.16,0.04,-0.0554199,0.960632,-0.237732,0.13269
29,0,0.12,0.06,-0.12,-0.0546265,0.96051,-0.23822,0.133179
30,0,0.68,-0.12,0.09,-0.0532227,0.96051,-0.238403,0.133423
31,0,-0.38,-0.1,0.21,-0.0540161,0.959351,-0.240662,0.137085
32,0,-0.41,-0.1,-0.02,-0.0543213,0.959045,-0.242249,0.136536
33,0,0.05,-0.16,-0.13,-0.053833,0.959106,-0.243835,0.133057
34,0,0.78,-0.33,-0.62,-0.0531616,0.959351,-0.245239,0.129089
35,0,1.26,-0.42,-0.54,-0.0535278,0.959473,-0.245239,0.127869
36,0,0.36,0.18,1.13,-0.0561523,0.959473,-0.242493,0.132141
37,0,0.01,0.83,2.08,-0.0635376,0.958435,-0.24115,0.13855
38,0,1.87,1.63,0.82,-0.069397,0.957153,-0.243591,0.140381
39,0,0.98,-0.93,0.21,-0.0714722,0.954651,-0.249207,0.146362
40,0,-4,-4.09,-9.56,-0.0859375,0.948792,-0.257446,0.161743
41,0,0.73,4.08,7.24,-0.0854492,0.951477,-0.249512,0.158447
42,0,-2.29,1.01,3.64,-0.0827637,0.956604,-0.238586,0.145325
43,0,4.23,1.07,0.27,-0.0792236,0.959412,-0.234863,0.134338
44,0,1.36,-0.54,-0.32,-0.074707,0.960266,-0.231079,0.137512
45,0,-2.01,-0.1,1.33,-0.0786133,0.95874,-0.231995,0.144226
46,0,-1.26,0.11,0.76,-0.0803833,0.95813,-0.23407,0.144043
47,0,1.13,0.21,0.38,-0.0773315,0.958862,-0.236267,0.137085
48,0,2,0.51,-0.18,-0.0744629,0.958801,-0.240234,0.131897
49,0,-0.27,-0.28,-0.58,-0.074707,0.957581,-0.243042,0.135376
50,0,-0.85,-0.68,-0.38,-0.0758057,0.955811,-0.246887,0.140381
51,0,0.3,-0.38,-0.33,-0.0750122,0.956116,-0.247314,0.138123
52,0,0.35,-0.12,-0.28,-0.0733643,0.956726,-0.246765,0.135559
53,0,0.08,0.13,-0.05,-0.0734863,0.957153,-0.245361,0.135071
54,0,0.23,0.01,0.05,-0.0734253,0.957886,-0.242981,0.134216
55,0,0.86,-0.09,0.27,-0.0731201,0.958496,-0.241394,0.133057
56,0,0.5,-0.06,0.13,-0.0726929,0.959045,-0.23999,0.131897
57,0,0.37,0.1,0.14,-0.0727539,0.959167,-0.23938,0.131836
58,0,0.51,0.05,0.3,-0.0723877,0.959351,-0.238953,0.131714
59,0,0.15,0.11,-0.02,-0.0724487,0.959229,-0.239014,0.132202
60,0,0.13,-0.03,0.09,-0.0710449,0.959229,-0.239563,0.132263
61,0,0.17,-0.13,-0.04,-0.0709229,0.959106,-0.240112,0.132202
62,0,0.12,-0.07,-0.12,-0.0706787,0.958923,-0.241028,0.132019
63,0,0.16,-0.15,-0.08,-0.0708618,0.958801,-0.241394,0.132019
0,1,-0.58,0.04,-0.13,-0.0905762,0.943298,-0.318359,0.0239868
1,1,0,-0.23,-0.47,-0.0926514,0.93988,-0.327881,0.0238037
2,1,0.74,-0.08,-0.53,-0.0930176,0.937378,-0.335083,0.0205078
3,1,0.15,0,-0.16,-0.0913696,0.936401,-0.338318,0.0184326
4,1,-0.4,0.14,0.37,-0.0874634,0.935608,-0.341431,0.0202026
5,1,-0.1,0.13,0.19,-0.0858154,0.934448,-0.345032,0.0202637
6,1,-0.12,0.25,-0.08,-0.0844116,0.932678,-0.350037,0.0205688
7,1,-0.19,0.17,0.02,-0.0839233,0.93219,-0.35144,0.020874
8,1,-0.15,0.01,0.27,-0.0822144,0.930237,-0.356934,0.0213623
9,1,-0.37,-0.11,0.31,-0.0813599,0.929382,-0.359314,0.0214233
10,1,-0.08,0.08,0.1,-0.0780029,0.92688,-0.366577,0.0214844
11,1,-0.11,0.03,-0.32,-0.0768433,0.92511,-0.371155,0.0218506
12,1,0.02,0.14,-0.16,-0.0739746,0.923645,-0.375488,0.0214233
13,1,-0.18,0.03,-0.21,-0.0718994,0.921204,-0.381714,0.0220337
14,1,-0.04,0.17,-0.38,-0.0706787,0.920593,-0.383423,0.0218506
15,1,-0.15,0.08,-0.39,-0.0669556,0.91925,-0.387451,0.0206299
16,1,-0.16,0.04,-0.16,-0.0655518,0.918884,-0.38855,0.0201416
17,1,-0.28,-0.06,-0.03,-0.0621338,0.917908,-0.391418,0.0187378
18,1,-0.23,0.2,-0.17,-0.0604858,0.917236,-0.39325,0.0176392
19,1,0.15,0.12,-0.22,-0.0584106,0.916504,-0.395386,0.0169678
20,1,-0.21,0.26,-0.08,-0.0574341,0.916443,-0.395569,0.0183716
21,1,-0.24,0.15,0.18,-0.0566406,0.916565,-0.395325,0.019043
22,1,0.29,0.29,0.64,-0.0543213,0.916077,-0.39679,0.0185547
23,1,-0.02,-0.18,0.62,-0.053833,0.915588,-0.39801,0.0184326
24,1,0.03,0.33,0.28,-0.0527954,0.914368,-0.401001,0.019104
25,1,-0.07,-0.17,0.22,-0.0525513,0.912598,-0.404968,0.0193481
26,1,0.32,0.52,0.39,-0.0491943,0.909119,-0.413147,0.0194702
27,1,-0.2,0.04,0.33,-0.0469971,0.905701,-0.420776,0.020752
28,1,-0.38,-0.1,0.1,-0.0448608,0.901855,-0.429138,0.0223999
29,1,-0.39,0.06,-0.34,-0.0440063,0.896606,-0.440002,0.0233154
30,1,-0.65,-0.11,-0.35,-0.043457,0.895325,-0.442688,0.0223999
31,1,-0.42,-0.04,-0.35,-0.0424805,0.892883,-0.447937,0.0166016
32,1,-0.3,0.08,-0.37,-0.0423584,0.892395,-0.448975,0.0142212
33,1,0.17,0.38,-0.15,-0.0429688,0.891357,-0.451172,0.00982666
34,1,-2.72,0.49,0.72,-0.0443726,0.890808,-0.452209,0.00860596
35,1,-2.02,0.98,0.97,-0.0499268,0.894531,-0.444153,0.00213623
36,1,2.79,-0.19,-0.95,-0.0586548,0.907166,-0.416626,-0.00415039
37,1,-1.03,-7.4,-3.38,-0.083374,0.923157,-0.375244,-0.000488281
38,1,-4.79,-3.61,-8.72,-0.113464,0.94397,-0.309814,0.00524902
39,1,-3.23,1.31,2.46,-0.110901,0.962891,-0.245361,0.0175171
40,1,-4.92,3.09,5.73,-0.115845,0.965332,-0.233582,0.0130005
41,1,5.14,0.62,1,-0.109741,0.965454,-0.236267,-0.00140381
42,1,1.24,0.12,-0.3,-0.108521,0.963257,-0.245544,0.00646973
43,1,-1.04,0.28,-0.8,-0.110901,0.962646,-0.24646,0.0177002
44,1,0.29,-0.83,0.63,-0.114929,0.961853,-0.247559,0.0183716
45,1,0.63,-0.09,1.45,-0.115417,0.961609,-0.248596,0.0136719
46,1,0.26,0.03,1.16,-0.112671,0.961243,-0.251526,0.00891113
47,1,0.21,0.77,0.06,-0.108765,0.960571,-0.255737,0.00622559
48,1,-0.25,0.1,-0.64,-0.106934,0.959717,-0.259766,0.00689697
49,1,-1.19,-0.81,-1.21,-0.107605,0.958313,-0.264404,0.0101929
50,1,-0.7,-0.95,-0.8,-0.107605,0.957642,-0.266968,0.0103149
51,1,-0.56,-0.55,-0.49,-0.106812,0.957153,-0.269043,0.00927734
52,1,-0.45,-0.04,-0.31,-0.106079,0.956848,-0.270508,0.00848389
53,1,-0.08,0,-0.19,-0.105896,0.956665,-0.271118,0.00830078
54,1,0.15,-0.1,-0.1,-0.105286,0.956482,-0.271973,0.0078125
55,1,0.15,-0.09,0,-0.104431,0.956482,-0.272278,0.00762939
56,1,0.22,-0.22,0.13,-0.10437,0.956909,-0.270935,0.0067749
57,1,0.13,0.11,0.26,-0.104797,0.957336,-0.269165,0.00610352
58,1,-0.07,-0.01,0.42,-0.104858,0.957703,-0.267822,0.00622559
59,1,0.02,-0.04,0.08,-0.104431,0.957764,-0.267822,0.00634766
60,1,-0.28,-0.18,0.07,-0.10376,0.957642,-0.268494,0.0065918
61,1,-0.27,-0.31,0.02,-0.103027,0.957397,-0.269775,0.00634766
62,1,-0.34,-0.05,-0.22,-0.102722,0.957336,-0.270142,0.00616455
63,1,-0.27,-0.25,0,-0.103088,0.957031,-0.270874,0.00628662
0,2,-0.19,1.04,1.15,0.188965,0.588928,-0.088562,0.780762
