sample,sensor,ax,ay,az,w,i,j,k
0,0,0.06,-0.05,0.05,0.147217,0.791321,-0.589966,-0.0639038
1,0,0.15,0.11,-0.05,0.147095,0.791504,-0.589722,-0.0638428
2,0,0.05,-0.19,0.06,0.147095,0.791565,-0.589661,-0.0637817
3,0,0.05,0.22,-0.17,0.146729,0.791687,-0.589661,-0.0635376
4,0,0.04,-0.2,0.01,0.146545,0.791748,-0.589661,-0.0632935
5,0,0.07,0.13,0.06,0.14624,0.791931,-0.589478,-0.0630493
6,0,0.03,-0.09,-0.02,0.145996,0.791931,-0.589478,-0.0630493
7,0,0.04,0.05,-0.01,0.145203,0.792175,-0.589417,-0.0628052
8,0,0.03,-0.11,0,0.144775,0.792236,-0.589478,-0.0626831
9,0,0.21,0.09,-0.02,0.144043,0.79248,-0.589294,-0.0625
10,0,0.26,0.07,-0.07,0.143311,0.792603,-0.589417,-0.0621338
11,0,0.26,0.06,-0.02,0.141541,0.792908,-0.589478,-0.0609131
12,0,0.14,0,0.07,0.139832,0.793335,-0.589539,-0.0595703
13,0,0.16,-0.13,0.04,0.136353,0.79425,-0.589355,-0.0569458
14,0,-0.11,-0.24,-0.28,0.13324,0.795471,-0.588623,-0.0549316
15,0,0.23,0.1,-0.54,0.129333,0.798462,-0.58551,-0.0540161
16,0,0.11,0.03,0.59,0.12738,0.800293,-0.583496,-0.0539551
17,0,-0.57,-0.33,0.76,0.122742,0.801941,-0.582214,-0.0528564
18,0,0.14,-0.6,-0.95,0.12207,0.802673,-0.58136,-0.0536499
19,0,0.4,0.35,-0.09,0.121948,0.804443,-0.578735,-0.0557251
20,0,0.01,-0.27,0.47,0.120972,0.805237,-0.577881,-0.0549316
21,0,-0.13,-0.06,0.23,0.119141,0.806335,-0.576843,-0.0541992
22,0,-0.02,0.09,0.19,0.118347,0.80658,-0.576538,-0.0545654
23,0,-0.19,-0.01,-0.16,0.116638,0.806763,-0.576599,-0.0551147
24,0,0.11,-0.03,-0.34,0.115723,0.807251,-0.576111,-0.0559082
25,0,0.31,0.04,0.25,0.115173,0.808167,-0.574829,-0.0566406
26,0,0.21,0.2,0.15,0.114868,0.808594,-0.57428,-0.0571289
27,0,0.03,0.01,0.02,0.113098,0.808899,-0.574158,-0.0568848
28,0,0.19,-0.17,-0.46,0.113037,0.808899,-0.574097,-0.0574951
29,0,0.48,-0.07,-0.14,0.112976,0.809265,-0.573608,-0.0568848
30,0,-0.16,0.03,0.36,0.112366,0.809265,-0.573853,-0.0559692
31,0,-1.5,0.61,0.45,0.115723,0.807983,-0.575134,-0.0541992
32,0,-0.46,1.55,1.56,0.119507,0.804321,-0.579529,-0.0545654
