sample,sensor,ax,ay,az,w,i,j,k
0,0,0.72,-0.26,-0.73,0.56189,0.553284,-0.347961,-0.50708
1,0,0.25,0.15,-1.27,0.547913,0.569885,-0.365784,-0.49115
2,0,0.29,0.02,-1.04,0.528564,0.593567,-0.391113,-0.46405
3,0,0.12,-0.54,-0.48,0.519836,0.604858,-0.404236,-0.447815
4,0,-0.41,-0.64,-0.29,0.510498,0.616516,-0.417297,-0.430359
5,0,-0.76,0.08,-0.11,0.500244,0.628357,-0.429565,-0.412781
6,0,-1.24,0.05,-0.2,0.490112,0.639099,-0.441101,-0.395935
7,0,-1.36,-0.35,-0.17,0.48114,0.648071,-0.450989,-0.38092
8,0,-0.41,-0.08,-0.02,0.473328,0.655701,-0.459534,-0.36731
9,0,-0.53,-0.11,0.22,0.46582,0.662537,-0.467163,-0.354614
10,0,-0.7,-0.04,0.41,0.458679,0.668762,-0.47406,-0.342896
11,0,-0.56,-0.08,0.45,0.452209,0.674194,-0.480042,-0.332458
12,0,-0.55,0.12,0.22,0.444336,0.68042,-0.487427,-0.319458
13,0,-0.88,-0.41,0.23,0.440796,0.683289,-0.491272,-0.312256
14,0,0.1,0,-0.06,0.436584,0.686218,-0.495911,-0.30426
15,0,-0.14,-0.09,-0.09,0.431702,0.689148,-0.501038,-0.296082
16,0,0,-0.08,-0.22,0.423706,0.693726,-0.509644,-0.281982
17,0,-0.27,-0.03,-0.11,0.419495,0.696106,-0.513428,-0.27533
18,0,-0.29,-0.08,-0.02,0.412659,0.69989,-0.519104,-0.265259
19,0,0.06,-0.16,-0.13,0.408325,0.702209,-0.522644,-0.25885
20,0,-0.51,-0.04,0.08,0.395996,0.708313,-0.531921,-0.241943
21,0,-0.57,-0.12,-0.02,0.389709,0.711182,-0.536194,-0.234131
22,0,0.14,-0.15,-0.27,0.385254,0.713257,-0.539246,-0.228271
23,0,-0.12,0.84,-0.42,0.382324,0.714783,-0.541077,-0.223999
24,0,0.09,-1.03,-0.65,0.378418,0.717041,-0.542786,-0.219055
25,0,-0.8,-0.2,-0.35,0.367249,0.723511,-0.547241,-0.205444
26,0,-0.63,0.17,-0.11,0.363647,0.72644,-0.547485,-0.200867
27,0,-0.99,-0.08,-0.08,0.362366,0.728333,-0.546204,-0.199707
28,0,0.66,0.06,0.25,0.365173,0.729736,-0.541321,-0.202759
29,0,-0.45,-2.9,0.9,0.364197,0.731445,-0.539795,-0.202454
30,0,-1.7,-0.05,1.14,0.36377,0.732605,-0.538147,-0.203308
31,0,-5.51,0.41,3.33,0.368835,0.731201,-0.533325,-0.211853
32,0,-8.8,0.89,6.26,0.388367,0.721985,-0.519897,-0.240051
33,0,-11.25,1.75,5.07,0.431885,0.694519,-0.491028,-0.300171
34,0,-11.43,-0.58,-0.37,0.491089,0.642639,-0.442139,-0.387756
35,0,-12.91,-1.95,-10.68,0.539429,0.5802,-0.370117,-0.485168
36,0,-6.72,-3.39,-15.34,0.579529,0.513489,-0.284729,-0.565186
37,0,7.95,-1.2,-18.82,0.60907,0.451904,-0.20636,-0.618286
