sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.71,-1.39,-2.3,0.408264,0.784912,-0.380127,-0.269592
1,0,7.47,-2.66,-6.33,0.433105,0.765137,-0.356201,-0.316528
2,0,8.85,-5.72,-6.52,0.451904,0.747375,-0.336853,-0.351746
3,0,9.35,-2.52,-5.1,0.458008,0.740356,-0.329529,-0.365295
4,0,-2.03,-0.98,-2.77,0.450989,0.749268,-0.340088,-0.345703
5,0,-4.06,-0.44,-1.64,0.445435,0.756531,-0.349304,-0.327393
6,0,-2.73,-0.44,-0.44,0.445007,0.759094,-0.353394,-0.317566
7,0,-1.91,-0.43,-0.12,0.450073,0.756836,-0.352356,-0.316956
8,0,-2.49,-0.69,-0.3,0.459473,0.750488,-0.346985,-0.324341
9,0,-2.56,-0.91,-0.76,0.473755,0.739624,-0.336792,-0.339294
10,0,-2.91,-0.78,-0.62,0.49176,0.72406,-0.32135,-0.36145
11,0,-3.61,-1.27,-1.08,0.512024,0.703552,-0.301025,-0.390198
12,0,-3.96,-1.77,-1.52,0.532532,0.678528,-0.275574,-0.424377
13,0,-3.36,-1.41,-3.26,0.550842,0.651184,-0.244202,-0.461365
14,0,-4.19,-3.57,-3.63,0.565002,0.623901,-0.207703,-0.498352
15,0,-3.05,-2.37,-5.38,0.580566,0.594238,-0.170959,-0.529663
16,0,-0.93,-1.62,-4.78,0.593689,0.566956,-0.132141,-0.555481
17,0,1.47,-0.73,-4.09,0.605286,0.544006,-0.0973511,-0.572876
18,0,2.6,-0.63,-3.27,0.614502,0.528442,-0.0704346,-0.581543
19,0,3.47,-0.57,-0.95,0.62207,0.521057,-0.0540161,-0.581909
20,0,2.83,-0.35,-0.62,0.627625,0.521179,-0.0478516,-0.576294
21,0,0.37,0.74,0.16,0.632446,0.525879,-0.0491943,-0.56665
22,0,-2.36,0.47,1.55,0.636597,0.531372,-0.0539551,-0.556335
23,0,-4.11,0.53,2.27,0.639832,0.536804,-0.0596313,-0.546753
24,0,-4.15,-0.91,2.4,0.644165,0.539368,-0.0629883,-0.538696
25,0,-3.46,0.38,1.81,0.645569,0.537231,-0.0588989,-0.539551
26,0,-3.03,-0.21,1.34,0.646301,0.533081,-0.0526733,-0.543457
27,0,-1.9,-0.26,1.7,0.646179,0.527771,-0.0452881,-0.549377
28,0,-0.87,0.05,1.89,0.64325,0.520508,-0.038208,-0.560181
29,0,-0.02,0.77,4.4,0.63855,0.517395,-0.0395508,-0.568298
30,0,1.24,1.08,5.14,0.625488,0.512085,-0.0529785,-0.586304
31,0,3.52,0.78,-1.1,0.612488,0.515625,-0.0744629,-0.594543
32,0,7.23,0.94,-6.55,0.595581,0.534668,-0.111938,-0.588928
33,0,0.32,-3.5,-10.84,0.569153,0.579224,-0.171082,-0.557922
34,0,-12.93,-8.13,-10.79,0.523499,0.647705,-0.238647,-0.499512
35,0,-15.79,-0.56,0.63,0.472412,0.708435,-0.286438,-0.439209
36,0,-8.95,4.73,2.98,0.437561,0.741028,-0.305786,-0.407288
37,0,7.87,0.73,0.51,0.417725,0.755676,-0.311584,-0.396729
38,0,3.87,-2.05,-2.56,0.400513,0.767334,-0.318359,-0.386536
39,0,6.79,-6.22,-6.6,0.389709,0.775452,-0.324768,-0.376038
40,0,7.52,-5.05,-6.02,0.37854,0.78656,-0.334045,-0.355591
41,0,-0.6,-2.97,-2.08,0.362366,0.802063,-0.347412,-0.323608
42,0,-1.99,-1.53,-0.14,0.350342,0.812622,-0.358582,-0.297119
43,0,-2.01,-0.12,-0.27,0.34906,0.814758,-0.364746,-0.284973
44,0,-3.2,0.02,-1.2,0.363708,0.806213,-0.363464,-0.292603
