sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.03,-0.21,-0.14,0.0904541,0.958008,-0.265503,0.0598755
1,0,0.55,-0.1,-0.17,0.09198,0.958191,-0.264709,0.0576172
2,0,0.64,-0.12,-0.06,0.0933838,0.958191,-0.264404,0.0564575
3,0,0.83,-0.04,0.16,0.0946655,0.95813,-0.264343,0.0565186
4,0,0.7,-0.15,-0.13,0.0952759,0.957886,-0.264587,0.0579834
5,0,0.08,-0.14,-0.14,0.0957031,0.957642,-0.264709,0.0609741
6,0,0.26,-0.26,-0.06,0.0964355,0.957397,-0.265137,0.0618896
7,0,0.33,-0.22,-0.24,0.0983276,0.95697,-0.265686,0.0623169
8,0,0.41,-0.17,-0.2,0.0991821,0.956726,-0.266113,0.0634155
9,0,0,-0.05,0.12,0.0998535,0.95636,-0.266113,0.0675659
10,0,0.08,-0.12,0.03,0.100403,0.956238,-0.266235,0.0685425
11,0,0.28,-0.19,-0.2,0.10321,0.955872,-0.266541,0.0682373
12,0,0.21,-0.26,-0.08,0.103638,0.955688,-0.266785,0.0687866
13,0,0.05,-0.2,0.01,0.104553,0.955505,-0.266968,0.0697021
14,0,0.44,-0.13,-0.09,0.10498,0.955383,-0.26709,0.0700073
15,0,0.47,-0.31,-0.12,0.105713,0.9552,-0.266968,0.0712891
16,0,0.1,-0.15,-0.03,0.105713,0.955139,-0.266907,0.0730591
17,0,0.45,-0.17,-0.05,0.106201,0.954895,-0.266602,0.0760498
18,0,0.32,-0.23,0,0.106384,0.954773,-0.266846,0.0767822
19,0,-0.23,-0.15,-0.23,0.106812,0.95459,-0.26709,0.0779419
20,0,-0.13,-0.05,0.03,0.106934,0.954529,-0.266846,0.0789185
21,0,0.57,-0.26,0.02,0.108093,0.954529,-0.266357,0.0792236
22,0,0.25,-0.12,-0.08,0.108459,0.954407,-0.26593,0.081665
23,0,-0.02,-0.07,-0.13,0.108398,0.954285,-0.265625,0.0840454
24,0,0.11,-0.19,0.17,0.108276,0.954224,-0.265381,0.0854492
25,0,0.21,-0.21,0,0.108765,0.954102,-0.265564,0.0858154
26,0,0.31,-0.24,-0.05,0.108459,0.954041,-0.265747,0.0861816
27,0,1.05,-0.29,0.46,0.107971,0.953918,-0.265747,0.0877686
28,0,0.09,-0.06,0.52,0.106628,0.953735,-0.266113,0.090332
29,0,-0.59,-0.15,-0.5,0.103638,0.953308,-0.268127,0.0925903
30,0,-0.26,-0.25,0.48,0.101868,0.953125,-0.269592,0.0921631
31,0,0.54,-0.29,0.06,0.100159,0.953186,-0.272217,0.0852661
32,0,0.61,-0.35,-0.81,0.0977173,0.953186,-0.274048,0.0822144
33,0,2.66,2.93,5.12,0.0938721,0.95343,-0.275208,0.0802612
34,0,1.54,3.46,-10.31,0.0870972,0.95282,-0.279053,0.0814819
35,0,-3.52,-2.47,-0.42,0.0715942,0.955139,-0.275513,0.081543
36,0,-4.11,2.21,1.25,0.0623169,0.957092,-0.270386,0.0838013
37,0,1.46,0.87,1.12,0.069458,0.960022,-0.265625,0.0549316
38,0,4.79,-0.12,-1.11,0.0774536,0.960999,-0.262817,0.0380249
39,0,3.88,-0.4,0.35,0.0780029,0.96167,-0.259033,0.045105
40,0,0.53,0.56,0.72,0.0736084,0.961487,-0.258545,0.057312
41,0,-0.21,0.32,0.56,0.0723877,0.9599,-0.262512,0.0669556
42,0,0.37,-0.08,-0.27,0.0738525,0.958679,-0.266541,0.0666504
43,0,0.07,-0.6,-0.31,0.0769653,0.957275,-0.271545,0.0634155
44,0,-0.04,-0.84,-0.18,0.0787354,0.956604,-0.273804,0.0615845
45,0,0.22,-0.75,-0.54,0.0820312,0.956055,-0.274719,0.0610962
46,0,0.26,-0.15,-0.26,0.0836182,0.956055,-0.273682,0.0634155
47,0,0,0.18,-0.03,0.0848389,0.956482,-0.270813,0.0679932
48,0,-0.4,0,-0.04,0.0855103,0.956848,-0.26886,0.0691528
49,0,-0.11,-0.03,0.3,0.0875244,0.957581,-0.266357,0.0661621
50,0,0.51,-0.33,-0.01,0.0888672,0.958008,-0.26532,0.0629272
51,0,0.14,0,0.27,0.0910645,0.958679,-0.262939,0.0588989
52,0,0.77,0.15,0.13,0.092041,0.958862,-0.262451,0.0568848
53,0,1.01,0.02,-0.09,0.0932007,0.958923,-0.262268,0.0551758
54,0,1.05,-0.01,0.12,0.0944824,0.958862,-0.262024,0.0549316
55,0,0.71,-0.03,0.01,0.09552,0.958557,-0.262207,0.0578003
56,0,0.01,-0.04,-0.09,0.0958862,0.958313,-0.262268,0.06073
57,0,0.01,-0.01,0.3,0.0973511,0.957764,-0.263245,0.0628052
58,0,0.86,-0.23,-0.11,0.0987549,0.957336,-0.264221,0.0628662
59,0,0.62,-0.43,-0.21,0.098999,0.956787,-0.265442,0.0655518
60,0,0.22,-0.01,0,0.0992432,0.956421,-0.26593,0.0682983
61,0,0.36,-0.13,0,0.100159,0.955933,-0.266724,0.0709839
62,0,0.26,-0.3,-0.34,0.100586,0.955627,-0.267334,0.0722046
63,0,0.38,-0.07,0.09,0.10083,0.955322,-0.267517,0.0749512
0,1,-0.23,0.02,-0.17,-0.129028,0.882935,-0.451477,0.0020752
1,1,-0.11,-0.19,-0.34,-0.127563,0.878662,-0.460083,0.00280762
2,1,-0.09,0.01,-0.03,-0.126038,0.876221,-0.465088,0.00311279
3,1,-0.07,-0.14,-0.19,-0.121948,0.872192,-0.473694,0.00280762
4,1,-0.37,0.04,-0.29,-0.120605,0.869202,-0.479431,0.00482178
5,1,-0.35,-0.2,-0.25,-0.119507,0.866394,-0.484863,0.00646973
6,1,-0.22,-0.23,-0.26,-0.118408,0.863586,-0.48999,0.00701904
7,1,-0.17,-0.02,-0.19,-0.116394,0.861084,-0.494934,0.0067749
8,1,0.03,0.68,-0.16,-0.114258,0.858398,-0.500061,0.00683594
9,1,-0.1,0.05,-0.06,-0.112183,0.855347,-0.505737,0.00744629
10,1,-0.21,0.18,-0.1,-0.108154,0.850891,-0.514038,0.00848389
11,1,-0.01,0.01,-0.16,-0.105957,0.8479,-0.519409,0.00872803
12,1,-0.23,0.01,-0.23,-0.103516,0.842896,-0.528015,0.00946045
13,1,-0.18,-0.17,-0.09,-0.101746,0.839233,-0.534119,0.0100098
14,1,-0.16,-0.04,-0.17,-0.0994873,0.835754,-0.539917,0.0106812
15,1,-0.16,-0.05,-0.26,-0.0975952,0.831177,-0.547241,0.012207
16,1,-0.43,0.11,-0.33,-0.09729,0.829773,-0.549438,0.0125732
17,1,-0.25,-0.09,-0.17,-0.0962524,0.826538,-0.554443,0.0127563
18,1,0.02,0.01,0.01,-0.0941162,0.822754,-0.560364,0.0130005
19,1,0.05,0.02,-0.07,-0.0912476,0.816956,-0.569214,0.0150146
20,1,-0.22,0.13,-0.45,-0.090332,0.81366,-0.574036,0.017334
21,1,-0.32,0.11,-0.33,-0.0899658,0.812256,-0.57605,0.0185547
22,1,-0.33,-0.11,-0.18,-0.088623,0.808533,-0.58136,0.0204468
23,1,-0.37,-0.14,-0.3,-0.0882568,0.807495,-0.582886,0.0204468
24,1,-0.04,-0.07,-0.39,-0.0872803,0.805054,-0.586365,0.0202637
25,1,-0.06,0,-0.49,-0.0877686,0.804626,-0.586853,0.0223999
26,1,-0.4,-0.34,-0.46,-0.0923462,0.806335,-0.583679,0.0252075
27,1,-1.07,-0.19,-0.88,-0.101074,0.815125,-0.569946,0.0236816
28,1,0.22,-1.94,-1.36,-0.107971,0.821411,-0.559631,0.0197144
29,1,-0.8,0.12,-0.61,-0.115417,0.834167,-0.539185,0.0117798
30,1,-0.52,-0.39,-0.8,-0.122131,0.845032,-0.520569,0.00671387
31,1,0.61,0.44,-0.89,-0.128967,0.857178,-0.498596,0.003479
32,1,-1.49,-19.37,-18.96,-0.139587,0.872375,-0.468262,0.0157471
33,1,8.77,22.17,-6.1,-0.142944,0.902222,-0.405762,0.0299683
34,1,2.17,-5.49,-2.48,-0.165222,0.917847,-0.360718,0.0146484
35,1,-1.75,4.06,3.77,-0.18042,0.931946,-0.314392,0.00720215
36,1,0.36,2.32,4.83,-0.173767,0.942261,-0.286194,-0.00500488
37,1,2.53,1.68,2.12,-0.170776,0.941772,-0.289429,-0.012207
38,1,1.26,1.18,1.71,-0.166565,0.93573,-0.310913,-0.00671387
39,1,0.64,0.14,1.21,-0.166565,0.929749,-0.328369,0.00219727
40,1,0.44,-0.04,0.1,-0.167297,0.921631,-0.349915,0.0112915
41,1,-0.18,-0.22,-0.98,-0.164978,0.917114,-0.362671,0.0112305
42,1,-0.12,-0.56,-0.89,-0.162476,0.915588,-0.367737,0.00708008
43,1,0.03,-0.9,-0.71,-0.156799,0.914062,-0.374084,-0.000976562
44,1,0.16,-0.36,-0.64,-0.153015,0.912842,-0.37854,-0.00372314
45,1,-0.32,-0.24,-0.65,-0.148132,0.910278,-0.386597,-0.00177002
46,1,-0.9,-0.32,-0.74,-0.145996,0.908569,-0.391418,0.00140381
47,1,-0.82,-0.42,-0.77,-0.143555,0.907227,-0.395386,0.00384521
48,1,-0.32,-0.41,-0.19,-0.141479,0.907043,-0.396484,0.00323486
49,1,-0.57,-1.37,-0.26,-0.139038,0.907776,-0.395752,0.000610352
50,1,-0.46,-0.06,0.28,-0.137634,0.908508,-0.39447,-0.00201416
51,1,-0.15,-0.22,0.43,-0.136475,0.908325,-0.395386,-0.00537109
52,1,-0.11,0.17,0.38,-0.134888,0.907593,-0.397583,-0.00817871
53,1,0.17,0.36,0.48,-0.132324,0.906433,-0.40094,-0.0112915
54,1,0.25,0.04,0.5,-0.130676,0.904419,-0.406006,-0.0120239
55,1,-0.15,0.14,0.16,-0.129211,0.901855,-0.412048,-0.0109863
56,1,-0.42,-0.18,0.27,-0.126404,0.897217,-0.423035,-0.00939941
57,1,-0.23,0.29,0.1,-0.123962,0.892944,-0.432617,-0.00909424
58,1,0.24,0,-0.31,-0.117737,0.88678,-0.446838,-0.00848389
59,1,0.2,-0.2,-0.22,-0.114502,0.88269,-0.455688,-0.00872803
60,1,-0.17,0.12,-0.21,-0.110046,0.876099,-0.469299,-0.00732422
