sample,sensor,ax,ay,az,w,i,j,k
0,0,-0.68,-0.25,-0.81,0.265625,0.658264,-0.704224,-0.0144653
1,0,-0.27,-0.18,-0.68,0.277222,0.65094,-0.706543,-0.0150146
2,0,-0.74,-0.16,-0.49,0.27832,0.649719,-0.707214,-0.0145874
3,0,-0.62,-0.04,-0.08,0.278809,0.649902,-0.706909,-0.0153809
4,0,-0.37,-0.05,-0.25,0.280151,0.65094,-0.705322,-0.0184326
5,0,0.36,0.03,-0.05,0.280579,0.652222,-0.703918,-0.0203857
6,0,0.59,0.01,0.06,0.280945,0.653687,-0.702332,-0.0234985
7,0,0.33,0.07,0.23,0.278442,0.655518,-0.701599,-0.0240479
8,0,0.35,0.12,0.25,0.277466,0.656311,-0.701172,-0.0247192
9,0,0.63,0.07,0.2,0.276794,0.657227,-0.7005,-0.026001
10,0,0.65,0.04,0.2,0.276367,0.657288,-0.700684,-0.0262451
11,0,0.18,0.06,0.1,0.27356,0.656738,-0.702271,-0.0249634
12,0,0.08,0,0.08,0.272461,0.656067,-0.703369,-0.0240479
13,0,0.08,-0.05,0.13,0.271423,0.654602,-0.705139,-0.024231
14,0,0.08,-0.09,-0.03,0.269653,0.654114,-0.706299,-0.0238037
15,0,0.13,-0.11,-0.07,0.267151,0.653442,-0.707825,-0.0233765
16,0,0.06,-0.07,-0.23,0.265076,0.653442,-0.708679,-0.0227661
17,0,0.01,-0.07,-0.27,0.26239,0.653748,-0.709412,-0.0221558
18,0,0.21,-0.02,-0.28,0.261169,0.654175,-0.709473,-0.0223389
19,0,0.4,-0.08,-0.31,0.260437,0.654968,-0.708984,-0.0228882
20,0,0.64,-0.16,-0.48,0.259766,0.655762,-0.708496,-0.0223999
21,0,0.45,-0.19,-0.5,0.256897,0.657898,-0.707703,-0.0196533
22,0,0.4,-0.42,0.09,0.253052,0.661926,-0.705383,-0.0159912
23,0,0.58,0,1.9,0.247437,0.665955,-0.703674,-0.0108643
24,0,-0.39,-0.7,-0.35,0.243408,0.668457,-0.702759,-0.00793457
25,0,-0.21,1.21,-0.7,0.238647,0.674622,-0.698486,-0.0057373
26,0,-0.65,-1.17,0.13,0.235535,0.676086,-0.698181,-0.00158691
27,0,-2.14,-1.24,-0.66,0.224182,0.681091,-0.697021,0.00183105
28,0,0.17,0.09,-1.67,0.227661,0.685669,-0.691406,-0.00231934
29,0,0.9,-0.06,-0.63,0.236877,0.693237,-0.680603,-0.00689697
30,0,0.98,0.11,-0.25,0.240967,0.698364,-0.67395,-0.00695801
31,0,-0.29,-0.02,0.08,0.236572,0.706665,-0.666809,-0.00183105
32,0,-1.48,0.22,0.99,0.231079,0.712219,-0.662842,0.00128174
33,0,-0.4,0.16,1.03,0.230652,0.721191,-0.653198,-0.00213623
34,0,-0.62,0.5,0.94,0.234009,0.724915,-0.647766,-0.00952148
35,0,-2.08,0.28,0.57,0.239563,0.727173,-0.643005,-0.0188599
36,0,0.26,2.15,4.81,0.245789,0.729675,-0.637207,-0.0343018
37,0,2.72,1.76,1.28,0.267273,0.72644,-0.629944,-0.0635376
38,0,6.13,-0.2,-1.19,0.288879,0.720154,-0.625488,-0.0820312
39,0,2.78,0.9,0.64,0.298462,0.706604,-0.63678,-0.0782471
40,0,0.12,0.18,0.04,0.290466,0.700012,-0.649048,-0.0661621
41,0,-1.07,0.19,0.18,0.283752,0.692139,-0.661438,-0.0541992
42,0,-1.82,0.17,0.15,0.281555,0.683167,-0.672241,-0.0455322
43,0,-1.35,0.09,0.04,0.286621,0.669128,-0.684509,-0.0397949
44,0,-0.18,-0.28,-0.7,0.291626,0.660522,-0.690796,-0.0383911
45,0,-0.31,-0.42,-1.32,0.296204,0.649841,-0.699097,-0.0346069
46,0,-0.73,-0.37,-1.29,0.296753,0.644836,-0.703735,-0.0305786
47,0,-1.64,-0.31,-1.44,0.295471,0.64032,-0.708557,-0.0257568
48,0,-1.41,-0.09,-0.92,0.295044,0.63916,-0.709839,-0.0248413
49,0,-0.05,-0.11,-0.87,0.294495,0.640137,-0.708984,-0.0285034
50,0,0.19,0.02,-0.6,0.293152,0.64209,-0.707764,-0.0300903
51,0,0.33,-0.01,-0.32,0.29071,0.644409,-0.706543,-0.0310669
52,0,0.3,0.01,0.01,0.288391,0.646912,-0.7052,-0.0316772
53,0,0.1,0.04,0.08,0.287292,0.649841,-0.702881,-0.0341187
54,0,0.56,0.15,0.21,0.28772,0.651672,-0.700867,-0.0358276
55,0,0.77,0.09,0.12,0.289673,0.653442,-0.698303,-0.038208
56,0,0.6,0.05,0.12,0.290039,0.654297,-0.697327,-0.0385132
57,0,0.24,0.03,0.16,0.289856,0.655212,-0.696594,-0.0383911
58,0,0.05,0,-0.02,0.289673,0.655701,-0.696167,-0.038269
59,0,0.07,-0.03,-0.13,0.2901,0.65625,-0.695435,-0.0385132
60,0,0.26,-0.04,-0.44,0.290344,0.656677,-0.694946,-0.0386353
61,0,0.33,-0.01,-0.58,0.289368,0.657654,-0.694519,-0.0366211
62,0,-0.08,-0.07,-0.36,0.287231,0.658813,-0.694458,-0.0343628
63,0,-0.3,0.02,-0.26,0.284119,0.661072,-0.693726,-0.0318604
0,1,0.6,-0.08,0.47,0.343872,0.598145,-0.720581,-0.0683594
1,1,0.63,-0.08,0.49,0.342041,0.599243,-0.720642,-0.0675659
2,1,0.77,-0.09,0.43,0.340332,0.600342,-0.720398,-0.0691528
3,1,0.95,-0.09,0.47,0.340088,0.600464,-0.720337,-0.0696411
4,1,0.82,-0.08,0.56,0.339722,0.600525,-0.720459,-0.0700073
